COD_ID_PRODUTO,DES_PRODUTO,total_desconto
13445,LEITE L VIDA ELEGE 1L INTEGRAL,540895.57
94847,LEITE LATVIDA 1L UHT INT,232747.57
65413,FILEZINHO DE FRANGO SEARA IQF 1KG,209352.05
69273,FILEZINHO FRANGOSUL IQF 1KG,199632.08
8394,CREME LEITE ITALAC 200G PACK,179391.95
104454,CARNE BOVINA MAMINHA CONGELADA MONTANA KG,161102.32
104782,LING SUINA AURORA 700G CHURRASCO CONG,153855.77
8406,LEITE COND ITALAC 395G T. PACK SEMIDESNATADO,150511.13
72813,PAPEL HIG CAMERATTA 30M C/40 F DUPL,143935.75
56439,AVE NATALINA ADORO KG MILLENIUM TEMP,136229.78
94107,CARNE BOV FRIBOI KG MAMIN CONG,107145.62
64438,LEITE ITALAC UHT 1L COM TAMPA INTEGRAL,102294.03
103706,QUEIJO MUSSARELA FRIOLACK FATIADO 400G,93804.90
61617,EMPANADO STEAK FRANGOSUL 100G,91562.59
106447,COXA SOBRECOXA GALINHA NATUR 10KG DORSAL CONG,87453.32
420,OVOS BRANCO GRANEL C/30,78739.05
103586,PIPOCA FRITZ & FRIDA PREMIUM TIPO 1 400G,72149.43
989,CARNE BOV MONTANA KG COST CONG,72062.80
1555,ACUCAR GASPARIN 5KG CRISTAL,69666.01
7521,FAROFA PRONTA YOKI 500G,67892.12
103855,COXINHAS DAS ASAS LAR TEMPERADA CONGELADAS 700G,66945.21
79535,CERV AMSTEL 473ML,66830.88
11560,CERV SKOL 473ML PILSEN LT,65560.89
3228,ESPUMANTE AURORA 750ML MOSC,64241.33
103770,CARNE BOV FRIBOI KG COST TIRAS CONG,63344.43
11549,CERV POLAR EXPORT 473ML LT,62871.23
1056,FILE PEITO FGO SEARA 1KG CONG,62010.55
105645,ARROZ DONA MILU 5KG BCO TP1,61817.49
105318,MIST LACTEA ITALAC 395G COND,61516.00
70717,BATATA EASYCHEF CONGELADA 2KG,58599.16
8229,CERV SCHIN 473ML LT,46818.97
100615,LAVA ROUPAS EM PO GIRANDO SOL OPTICAL WASH FLORAL PARIS 4KG,45533.90
3391,WHISKY WHITE HORSE 1L,44565.22
40102,BATATA BEM 2KG,43895.39
1066,PEITO FRANGO KG CONG C OSSO,43563.25
3389,WHISKY JOHNNIE WALKER 1L RED,42166.04
44181,MIST LACTEA TRIANGULO 395G COND,42038.36
