COD_ID_PRODUTO,DES_PRODUTO,total_vendido
91157,AGUA MIN FONTE MATA 500ML C/GAS,3321295.00
91159,AGUA MIN FONTE MATA 500ML S/GAS,1382929.00
79535,CERV AMSTEL 473ML,1101583.00
8394,CREME LEITE ITALAC 200G PACK,897625.00
13445,LEITE L VIDA ELEGE 1L INTEGRAL,801637.00
8406,LEITE COND ITALAC 395G T. PACK SEMIDESNATADO,708477.00
94847,LEITE LATVIDA 1L UHT INT,701408.00
93032,OLEO SOJA COAMO 900ML REFINADO,693066.00
8229,CERV SCHIN 473ML LT,666153.00
11549,CERV POLAR EXPORT 473ML LT,640477.00
64438,LEITE ITALAC UHT 1L COM TAMPA INTEGRAL,613948.00
3986,REFRIG COCA COLA 2L PET,417419.00
11491,OLEO DE SOJA TIPO 1 PRIMOR GARRAFA 900ML,400660.00
73,,361817.03
104033,CERV ORIGINAL 473ML,361476.00
8378,,279034.00
11560,CERV SKOL 473ML PILSEN LT,274260.00
13714,LEITE L VIDA PIA 1L INTEGRAL,268552.00
61617,EMPANADO STEAK FRANGOSUL 100G,260747.00
11525,CERV BRAHMA CHOPP 473ML LT,260325.00
104667,MOLHO DE TOMATE PRATELLE TRADICIONAL 300G,249276.00
11747,AGUA MIN PEDRA 500ML C/GAS,246930.00
91898,CERV HEINEKEN 473ML LT,238153.00
10226,MOLHO TOMATE FUGINI 300G S/PED PENEIRADO TRAD,235486.00
3988,REFRIG COCA COLA 350ML LT,220941.00
44181,MIST LACTEA TRIANGULO 395G COND,217373.00
61494,CERV HEINEKEN 330ML LONG NECK,216058.00
4007,CERV KAISER 473ML LT,204794.00
31065,EMPANADO STEAK LAR 100G,202909.00
78074,REFRIG COCA COLA 200ML PET,199111.00
105270,REFRESCO TANG 18G LARAN,195134.00
112,CEBOLA NACIONAL KG,194316.56
420,OVOS BRANCO GRANEL C/30,189385.00
512,TOMATE LONGA VIDA KG,186115.55
93675,BOMBOM NESTLE 251G ESPECIALIDADES,185659.00
54839,CERV BUDWEISER 473ML LT,183110.00
70,BANANA CATURRA KG,166527.69
105318,MIST LACTEA ITALAC 395G COND,159610.00
99825,OLEO DE SOJA VITALIV PET 900ML,159221.00
62881,REFRESCO APTI 25G PO LARANJA,156954.00
103107,MILHO VERDE FUGINI 170G SC CONSERV,154237.00
72095,ACUCAR CARAVELAS REFINADO 1KG,154090.00
388,MELANCIA INTEIRA KG,153326.56
1043,,146849.81
100509,CERVEJA PROVINCIA LAGER LEVE 473ML,146581.00
72,BANANA PRATA KG,145891.33
105268,REFRESCO TANG 18G ABACAXI,143268.00
95101,CERVEJA BRAHMA DUPLO MALTE 350ML,141852.00
88364,*CREME CULINARIO TRIANGULO 200G,140699.00
62882,REFRESCO APTI 25G PO LIMAO,138059.00
64554,REFRESCO FRISCO 25G LARANJA,136722.00
101206,CERVEJA EISENBAHN PILSEN PURO MALTE 473ML,136226.00
75789,ACHOC PIRACANJUBA 200ML PIRAKIDS,135749.00
2795,AGUA MIN FLORESTA 500ML C/GAS,134346.00
62883,REFRESCO APTI 25G PO ABACAXI,131093.00
102796,WAFER GIRASSOL DE CHOCOLATE 60G,125111.00
103609,ACUCAR GASPARIN EXTRAFINO 1KG,124491.00
16630,REFRIG COCA COLA 600ML PET,124387.00
103562,CERV BUDWEISER 410ML LAGER,123479.00
211,LARANJA SUCO KG,120559.67
9433,DETERG LOUCA YPE 500ML CLEAR,119782.00
1555,ACUCAR GASPARIN 5KG CRISTAL,119353.00
105638,MASSA MONTE VISO 500G C/O PARAF,118064.00
103586,PIPOCA FRITZ & FRIDA PREMIUM TIPO 1 400G,116184.00
105273,REFRESCO TANG 18G LIMAO,114228.00
105637,MASSA MONTE VISO 500G C/O ESPAG,113664.00
100217,"CHOPP ALEMOA PILSEN PURO MALTE 1,49L",113550.00
3721,DETERG LOUCA LIMPOL 500ML CRISTAL,112782.00
380,MANGA TOMMY KG,111168.17
6330,MACARRAO MIOJO NISSIN 85GR LAMEN GALINHA CAIPIRA,109863.00
101472,CERV POLAR 350ML PURO MALTE SLEEK,109217.00
9441,DETERG LOUCA YPE 500ML NEUTRO,106405.00
96825,CERVEJA HEINEKEN ZERO ALCOOL 330ML,105737.00
64555,REFRESCO FRISCO 25G UVA,103527.00
11756,AGUA MIN PEDRA 500ML S/GAS,103296.00
105267,REFRESCO TANG 18G UVA,100943.00
3722,DETERGENTE LIMPOL 500ML NEUTRO,98655.00
56439,AVE NATALINA ADORO KG MILLENIUM TEMP,98217.05
78075,REFRIG COCA COLA 200ML PET ZERO,98126.00
64557,REFRESCO FRISCO 25G ABACAXI,97118.00
62660,FEIJAO GRAOS SUL 1KG PRETO,96435.00
28327,REFRIG CHARRUA 2L GUAR,95736.00
22692,AGUA MIN SARANDI 200ML COPO S/GAS,95073.00
103913,"SUCO SABORUVA DE UVA TINTO 1,4L",93384.00
105754,AGUA MIN MORMAII 510ML C/GAS,93309.00
82650,CERV BUDWEISER 330ML OW,92738.00
96204,MILHO BONARE LATA 170G,92243.00
113,,92241.32
24165,CERVEJA BRAHMA CHOPP 0% ALCOOL 350ML,92170.00
93329,CERV CORONA 330ML L NECK EXTRA ONE WAY,91561.00
89169,REFRIG PEPSI 200ML PET,91209.00
11823,CERV ITAIPAVA 473ML PILSEN LT,89048.00
89088,REFRIG GUARANA ANTARC 200ML PET,87442.00
69273,FILEZINHO FRANGOSUL IQF 1KG,85426.00
4023,REFRIG COCA COLA 3L PET,85256.00
44,,85070.00
105645,ARROZ DONA MILU 5KG BCO TP1,84225.00
